id,original_title,title,bag_of_words
902,Jezebel,Jezebel,Drama Romance English Français WarnerBros. BetteDavis HenryFonda GeorgeBrent MargaretLindsay DonaldCrisp FayBainter RichardCromwell JohnHuston WilliamWyler RobertBuckner AbemFinkel ClementsRipley OwenDavis LouisF.Edelman southernusa self-destruction loveofone'slife neworleans louisiana yellowfever femaleprotagonist epidemic pride vanity southernbelle 
903,The Hunchback of Notre Dame,The Hunchback of Notre Dame,Romance Drama Horror English RKORadioPictures CharlesLaughton CedricHardwicke ThomasMitchell MaureenO'Hara EdmondO'Brien AlanMarshal WalterHampden VictorHugo WilliamDieterle SonyaLevien paris france prison gypsy basedonnovel cathedral murder bell torture church hunchback notredamecathedral disfigurement bellringing torment dignity 
904,42nd Street,42nd Street,Music Comedy Romance English WarnerBros. WarnerBaxter BebeDaniels GeorgeBrent RubyKeeler GuyKibbee UnaMerkel GingerRogers LloydBacon BradfordRopes RianJames JamesSeymour WhitneyBolton philadelphia musical stageshow director brokenankle chorusline petdog broadway fainting chorusgirl openingnight crutch theatricalbacker eviction showproducer chorine plastercast showmustgoon financialcrisis sockonthejaw 
905,英雄,Hero,Drama Adventure Action History 普通话 BeijingNewPictureFilmCo.Ltd. ChinaFilmCo-ProductionCorporation JetLi TonyLeungChiu-Wai MaggieCheung DonnieYen ZhangZiyi ChenDao-Ming LiuZhongYuan ZhangYimou ZhangYimou FengLi WangBin countryside lossoflover rightandjustice patriot 
906,The Front Page,The Front Page,Romance Drama Comedy English UniversalStudios JackLemmon WalterMatthau SusanSarandon VincentGardenia DavidWayne AllenGarfield AustinPendleton BillyWilder BillyWilder I.A.L.Diamond BenHecht CharlesMacArthur chicago journalist newspaper marriageproposal stress father-in-law newspaperman 
907,風の谷のナウシカ,Nausicaä of the Valley of the Wind,Adventure Animation Fantasy 日本語 Topcraft SumiShimamoto IchirōNagai GorōNaya YōjiMatsuda YoshikoSakakibara IemasaKayumi HisakoKyouda HayaoMiyazaki HayaoMiyazaki HayaoMiyazaki savingtheworld humanvsnature fungusspores future airplane post-apocalyptic war toxic basedonmanga ecology giantinsect duringcreditsstinger anime 
908,Dark Wolf,Dark Wolf,Horror English SamaireArmstrong RyanAlosio AndreaBogart JaimeBergman AlexisCruz SashaWilliams TippiHedren RichardFriedman GeoffreyAlanHolliday werewolf 
909,Things to Come,Things to Come,Drama ScienceFiction English LondonFilmProductions RaymondMassey EdwardChapman RalphRichardson CedricHardwicke MargarettaScott MauriceBraddell SophieStewart WilliamCameronMenzies H.G.Wells H.G.Wells progress war scientist nearfuture 
910,Queen of Hearts,Queen of Hearts,Comedy Romance Foreign JonAmiel 
911,Baisers volés,Stolen Kisses,Comedy Drama Romance Français LesFilmsduCarrosse LesProductionsArtistesAssociés Jean-PierreLéaud ClaudeJade DelphineSeyrig MichaelLonsdale DanielCeccaldi ClaireDuhamel Harry-Max FrançoisTruffaut FrançoisTruffaut ClaudedeGivray BernardRevon individual paris shyness adultery hotel detective lovesickness job-hopping hotelroom parentchildrelationship nightwatchman montmartre shoeseller brothel amateurdetective repair cinémathèquefrançaise students'movement balzac army secretlove extramaritalaffair eiffeltowerparis may68 
912,The Last Samurai,The Last Samurai,"Drama Action War History English 日本語 Cruise/WagnerProductions WarnerBros. RadarPictures BedfordFallsCompany,The TomCruise KenWatanabe WilliamAtherton ChadLindberg BillyConnolly TonyGoldwyn ShichinosukeNakamura JohnLogan EdwardZwick EdwardZwick MarshallHerskovitz japan warcrimes senseofguilt swordplay general samurai warveteran katana sword armsdeal homeland emperor languagebarrier self-discovery mountainvillage foreignlegion mercenary campaign commercialagreement insurgence leader warstrategy gettysburg lossofhusband slaughter soldier alcoholic u.s.soldier japanesearmy 19thcentury wartrauma "
913,Big Fish,Big Fish,Adventure Fantasy Drama English ColumbiaPictures TheZanuckCompany Jinks/CohenCompany TimBurtonProductions EwanMcGregor AlbertFinney BillyCrudup JessicaLange HelenaBonhamCarter AlisonLohman MarionCotillard TimBurton JohnAugust DanielWallace ChrisBaker circus fathersonrelationship witch fish fishing loveofone'slife leech storyteller apoplecticstroke fair mermaid cancer relationship youth gentlegiant 
914,Stuck on You,Stuck on You,Comedy English TwentiethCenturyFoxFilmCorporation ConundrumEntertainment MattDamon GregKinnear EvaMendes WenYannShih SeymourCassel DaneCook CamNeely BobbyFarrelly BobbyFarrelly PeterFarrelly PeterFarrelly sex dancer martialarts cook stripper love bully hollywood twins flashback freak actor anxiety conjoined siamese 
915,Girl with a Pearl Earring,Girl with a Pearl Earring,Drama Romance English WildBearFilms ArcherStreetProductions DeluxProductions ScarlettJohansson ColinFirth CillianMurphy TomWilkinson JudyParfitt EssieDavis JoannaScanlan PeterWebber TracyChevalier OliviaHetreed painter biography painting maid 
916,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,Adventure Fantasy Action English WingNutFilms NewLineCinema ElijahWood IanMcKellen ViggoMortensen LivTyler OrlandoBloom JohnRhys-Davies SeanAstin PeterJackson PeterJackson J.R.R.Tolkien FranWalsh PhilippaBoyens elves orcs middle-earth(tolkien) basedonnovel suspicion bravery war honor troll brutality violence ghost endoftrilogy quest swordandsorcery 
917,Monster,Monster,Crime Drama English NewmarketFilms CharlizeTheron ChristinaRicci BruceDern LeeTergesen AnnieCorley MarcMacaulay StephanJones PattyJenkins PattyJenkins femalenudity prostitute rape sexualabuse desperation deathpenalty motel jobinterview basedontruestory murder betrayal serialkiller poverty prostitution heartbreak mentalillness womandirector ugly 
918,Cold Mountain,Cold Mountain,Drama English MiramaxFilms MirageEnterprises CastelFilmRomania BonaFideProductions Cattleya JudeLaw NicoleKidman RenéeZellweger EileenAtkins BrendanGleeson PhilipSeymourHoffman NataliePortman AnthonyMinghella AnthonyMinghella CharlesFrazier lossoflover lossoffamily deserter lossoffather loveofone'slife 
919,Young Black Stallion,Young Black Stallion,Adventure Drama Family English TheKennedy/MarshallCompany FRProductions BianaTamimi RichardRomanus PatrickElias GérardRudolf AliAlAmeri AndriesRossouw SimonWincer JeanneRosenberg JeanneRosenberg WalterFarley StevenFarley worldwarii humananimalrelationship horse northernafrica desert imax animallead 
920,The Men,The Men,Drama English Español StanleyKramerProductions MarlonBrando TeresaWright EverettSloane JackWebb RichardErdman ArthurJurado VirginiaFarmer FredZinnemann CarlForeman nurse warveteran wheelchair paralysis swimmingpool hospital doctor xenophobia 
921,Mon oncle,Mon oncle,Comedy Français GrayFilm GaumontDistribution AlterFilms SpectaFilms FilmdelCentauro CadyFilms JacquesTati Jean-PierreZola AdrienneServantie AlainBécourt LucienFrégis AdelaideDanieli BettySchneider JacquesTati JacquesTati JacquesLagrange JeanL'Hôte paris fathersonrelationship cityportrait factoryworker parentchildrelationship factory newbuilding brother-in-law modernity carcrash suburb dog housekeeper 
922,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,Drama Horror ScienceFiction English Metro-Goldwyn-Mayer(MGM) SpencerTracy IngridBergman LanaTurner DonaldCrisp IanHunter BartonMacLane C.AubreySmith VictorFleming RobertLouisStevenson SamuelHoffenstein PercyHeath JohnLeeMahin doublelife classichorror jekyllandhyde 
923,Les Vacances de Monsieur Hulot,Monsieur  Hulot's Holiday,Comedy Family Français Cady Discina JacquesTati NathaliePascaud MichelineRolla ValentineCamax LouisPerrault AndréDubois LucienFrégis JacquesTati JacquesTati holiday underdog hotel beach jazz tennis maskedball pilot lonewolf brittany pipe train summer alcoholabuse aerobics 
924,My Darling Clementine,My Darling Clementine,Drama Western English TwentiethCenturyFoxFilmCorporation HenryFonda LindaDarnell VictorMature CathyDowns WalterBrennan TimHolt WardBond JohnFord StuartN.Lake SamHellman SamuelG.Engel WinstonMiller gunslinger marshal saloon wyattearp docholliday revenge rifle doublebarreledshotgun deathofgirlfriend okcorral 
925,No Good Deed,No Good Deed,Action Crime Drama Mystery Thriller English RemstarProductions ApolloMediaDistribution KismetEntertainmentGroup SevenArtsFilms SamuelL.Jackson MillaJovovich StellanSkarsgård DougHutchison JossAckland GraceZabriskie JonathanHiggins DashiellHammett BobRafelson ChristopherCanaan SteveBarancik robbery detective bank hostage robber police femmefatale basedontruestory thief tension missinggirl theft policeofficer policedetective bankrobbery policeman teamofcriminals neo-noir 
926,La strada,La Strada,Drama Italiano Ponti-DeLaurentiisCinematografica AnthonyQuinn GiuliettaMasina RichardBasehart AldoSilvani MarcellaRovere LidiaVenturini GustavoGiorgi FedericoFellini FedericoFellini TullioPinelli EnnioFlaiano circus prison inlovewithenemy authority harleydavidson sadness wave dyinganddeath appearance rageandhate unsociability single revenge roadmovie 
927,Popiól i diament,Ashes and Diamonds,"War Drama Polski ZespólFilmowy""Kadr"" ZbigniewCybulski EwaKrzyżewska WaclawZastrzezynski AdamPawlikowski BogumiłKobiela HalinaKwiatkowska BarbaraKrafftówna AndrzejWajda AndrzejWajda JerzyAndrzejewski JerzyAndrzejewski postwarperiod polish "
928,The Butterfly Effect,The Butterfly Effect,ScienceFiction Thriller English NewLineCinema FilmEngine KatalystFilms BenderSpink ProvinceofBritishColumbiaProductionServicesTaxCredit AshtonKutcher MeloraWalters AmySmart EldenHenson WilliamLeeScott EricStoltz LoganLerman EricBress EricBress J.MackyeGruber J.MackyeGruber RobertPratt amnesia chaostheory blackout timetravel flashback 
929,The Dreamers,The Dreamers,Drama Romance English Français PeninsulaFilms RecordedPictureCompany(RPC) FictionFilms MichaelPitt EvaGreen LouisGarrel AnnaChancellor RobinRenucci Jean-PierreKalfon Jean-PierreLéaud BernardoBertolucci GilbertAdair GilbertAdair paris lovetriangle malenudity femalenudity sex hotel sexuality cinephilia flat bathing riot firsttime students'movement crush american twins apartment incest 
930,The Wilby Conspiracy,The Wilby Conspiracy,Action Adventure Drama Thriller English Baum/DantineProductions OptimusProductions SidneyPoitier MichaelCaine NicolWilliamson PrunellaGee SaeedJaffrey PersisKhambatta RijkdeGooyer RalphNelson RodAmateau PeterDriscoll HaroldNebenzal hidingplace courtcase police racist diamond 
931,50 First Dates,50 First Dates,Comedy Romance English ColumbiaPicturesCorporation HappyMadisonProductions AnonymousContent FlowerFilms(II) AdamSandler DrewBarrymore RobSchneider SeanAstin LusiaStrus DanAykroyd BlakeClark PeterSegal GeorgeWing AlexHillkurtz dejavu amnesia hawaii ladykiller romanticcomedy 
932,Monsieur Ibrahim et les fleurs du Coran,Monsieur Ibrahim,Drama Français Türkçe ARPSélection OmarSharif PierreBoulanger GilbertMelki IsabelleRenauld LolaNaymark AnneSuarez MataGabin FrançoisDupeyron FrançoisDupeyron Eric-EmmanuelSchmitt paris fathersonrelationship prostitute robbery lovesickness muslim dialogue jewry return istanbul lossoffather arabian restart homeland firsttime piggybank koran adoption dyinganddeath friendship grocer carcrash crush child 
933,Journal d'un curé de campagne,Diary of a Country Priest,Drama Français UnionGénéraleCinématographique(UGC) ClaudeLaydu JeanRiveyre AdrienBorel RachelBérendt NicoleMaurey NicoleLadmiral MartineLemaire RobertBresson RobertBresson GeorgesBernanos 
934,Raw Deal,Raw Deal,Action Crime Thriller English DeLaurentiisEntertainmentGroup(DEG) FamousFilms(II) InternationalFilmCorporation ArnoldSchwarzenegger KathrynHarrold DarrenMcGavin SamWanamaker PaulShenar StevenHill LouiseRobey JohnIrvin NormanWexler GaryDeVore chicago fbi mafiaboss gangster bombattack 
935,"Good bye, Lenin!","Good bye, Lenin!",Comedy Drama Romance Deutsch WDR Arte X-FilmeCreativePool DanielBrühl KatrinSass ChulpanKhamatova MariaSimon FlorianLukas AlexanderBeyer BurghartKlaußner WolfgangBecker WolfgangBecker BerndLichtenberg bureaucracy berlinwall policestate coma lossofmother wifehusbandrelationship patriotism germandemocraticrepublic socialism newsbroadcast lossoffather lenin single   filmescontraocomunismo 
936,Hidalgo,Hidalgo,Western Adventure English CaseySilverProductions TouchstonePictures DuneFilms ViggoMortensen ZuleikhaRobinson OmarSharif AdamAlexi-Malle LouiseLombard SilasCarson HarshNayyar JoeJohnston JohnFusco horserace horse racehorse 
937,Secret Window,Secret Window,Thriller Mystery English ColumbiaPicturesCorporation PariahEntertainmentGroup GrandSlamProductions Mel'sCiteduCinema JohnnyDepp JohnTurturro MariaBello TimothyHutton CharlesS.Dutton LenCariou JoanHeney DavidKoepp DavidKoepp StephenKing BrickMason alcohol adultery detective mississippi jealousy isolation paranoia motel window nightmare letter ax notebook police murder mystery arson writer divorce 
938,Wilbur begår selvmord,Wilbur Wants to Kill Himself,Comedy Drama Romance English LesFilmsduLosange NordiskFilm ScottishScreen TV2Danmark TheGlasgowFilmFund JamieSives AdrianRawlins ShirleyHenderson LisaMcKinlay MadsMikkelsen JuliaDavis SusanVidler AndersThomasJensen LoneScherfig LoneScherfig lovetriangle suicide brotherbrotherrelationship bookshop glasgow irony depression optimism suicideattempt cleaninglady deadwish dyinganddeath unsociability single cancer hospital psychiatrist womandirector 
939,Clifford,Clifford,Comedy Family English OrionPictures MartinShort CharlesGrodin MarySteenburgen DabneyColeman RichardKind JenniferSavidge BenSavage PaulFlaherty JayDeeRock BobbyvonHayes shenanigan uncle 
940,Dawn of the Dead,Dawn of the Dead,Fantasy Horror Action English Italiano NewAmsterdamEntertainment StrikeEntertainment MetropolitanFilmexport Toho-Towa CruelandUnusualFilms SarahPolley VingRhames JakeWeber MekhiPhifer TyBurrell MattFrewer MichaelKelly GeorgeA.Romero ZackSnyder JamesGunn VincePeets refugee massmurder habor carjourney departmentstore blackout busride pregnancyandbirth dyinganddeath bite toshootdead lorry munition basementgarage guard zombie dog car duringcreditsstinger 
941,Eternal Sunshine of the Spotless Mind,Eternal Sunshine of the Spotless Mind,ScienceFiction Drama Romance English AnonymousContent ThisIsThatProductions FocusFeatures JimCarrey KateWinslet KirstenDunst MarkRuffalo ElijahWood TomWilkinson JaneAdams MichelGondry MichelGondry PierreBismuth CharlieKaufman CharlieKaufman dejavu regret jealousy amnesia dream operation relationshipproblems love memory brainwashing relationship heartbreak nonlineartimeline lovestory bittersweet 
942,Dogville,Dogville,Crime Drama Thriller English ZentropaEntertainments DanmarksRadio(DR) TrollhättanFilmAB MemfisFilm France3Cinéma SverigesTelevision(SVT) Yleisradio(YLE) ArteFranceCinéma SlotMachine LiberatorProductions NederlandseProgrammaStichting(NPS) IsabellaFilmsB.V. WDR/Arte FilmiVäst PainUnlimitedGmbHFilmproduktion SomethingElseB.V. SigmaFilms ZomaFilmsLtd. NorskTV2AS NicoleKidman HarrietAndersson LaurenBacall Jean-MarcBarr PaulBettany BlairBrown JamesCaan LarsvonTrier LarsvonTrier rape bondage refugee mountain villagelife blackmail americandream bankrobber mountainvillage exploitation rockymountains womanmartyr physicalwork wantedposter forcedlabour lastjudgment slavery recession friendship police hoodlum 
943,Hellboy,Hellboy,Fantasy Action ScienceFiction Pусский English ColumbiaPictures RevolutionStudios DarkHorseEntertainment LawrenceGordonProductions StarliteFilms RonPerlman SelmaBlair RupertEvans JohnHurt JeffreyTambor KarelRoden BrianSteele GuillermodelToro GuillermodelToro MikeMignola PaulPrischman PeterBriggs blackmagic fistfight cover-up superhero paranormalphenomena narrationfromgrave demon occult combatphotography reanimatedcorpse duringcreditsstinger 
